date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:56	680190/680190	---M--	200	added ('OK')	video/webm	etag:%2257fd1dcc-a60fe%22	http://minimums.com/wp-content/themes/ink-modified/pocket.webm	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified/pocket.webm	(from http://minimums.com/)
16:48:03	70304/70304	---M--	200	added ('OK')	image/jpeg	etag:%22589e50a3-112a0%22	http://minimums.com/wp-content/uploads/2017/02/edits-118.jpg	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/uploads/2017/02/edits-118.jpg	(from http://minimums.com/)
16:48:05	52807/52807	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2010:48:18%20GMT	http://minimums.com/branden-harvey/	E:/Asif%20Projects/websites/allInOne/minimums.com/branden-harvey/index.html	(from http://minimums.com/)
16:48:29	199959/199959	---M--	200	added ('OK')	image/jpeg	etag:%22589c0276-30d17%22	http://minimums.com/wp-content/uploads/2017/02/DSC05980d.jpg	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/uploads/2017/02/DSC05980d.jpg	(from http://minimums.com/)
16:48:31	44815/44815	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2010:48:44%20GMT	http://minimums.com/nick-gray/	E:/Asif%20Projects/websites/allInOne/minimums.com/nick-gray/index.html	(from http://minimums.com/)
16:48:47	259329/259329	---M--	200	added ('OK')	image/jpeg	etag:%2257fd1db2-3f501%22	http://minimums.com/wp-content/uploads/2016/08/DSC1119.jpg	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/uploads/2016/08/DSC1119.jpg	(from http://minimums.com/)
16:48:50	50366/50366	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2010:49:04%20GMT	http://minimums.com/charl-laubscher/	E:/Asif%20Projects/websites/allInOne/minimums.com/charl-laubscher/index.html	(from http://minimums.com/)
16:49:04	1103883/1103883	---M--	200	added ('OK')	application/octet-stream	etag:%2257fd1dcd-10d80b%22	http://minimums.com/wp-content/themes/ink-modified/pocket.ogv	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified/pocket.ogv	(from http://minimums.com/)
16:49:06	31735/31735	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2010:49:19%20GMT	http://minimums.com/paul-cocksedge/	E:/Asif%20Projects/websites/allInOne/minimums.com/paul-cocksedge/index.html	(from http://minimums.com/)
16:49:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Apr%202017%2010:49:20%20GMT	http://minimums.com/be-a-minimums-photographer	E:/Asif%20Projects/websites/allInOne/minimums.com/be-a-minimums-photographer	(from http://minimums.com/)
16:49:09	77271/77271	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2010:49:21%20GMT	http://minimums.com/elliot-samanatha-stocks/	E:/Asif%20Projects/websites/allInOne/minimums.com/elliot-samanatha-stocks/index.html	(from http://minimums.com/)
